lat,lon,name,admin1,admin2,cc
66.046356,-16.43976,Akurgerði,dýralíf. fuglar. berjaland. skógar,„Akurgerði er í landi prestssetursins Skinnastaða í Öxarfirði. Skógurinn hefur verið grisjaður. helstu trjátegundir merktar og sett upp upplýsingaskilti. borð og bekkir. Þá eru þar ágætir stígar. tilvaldir til léttra gönguferða. þannig að aðstaða almennings til áningar og útivistar er til fyrirmyndar. (...) Lífríki skógarins er því mjög fjölbreytt. Í Akurgerði er mikið af fuglum. fjöldi blómplantna. ýmis smádýr. margar tegundir sveppa og ágæt berjaspretta.“,3X4NUHDRKG
65.538239,-23.99984,Akurgerði,fornminjar,Merkur staður frá miðri 18 öld. Oft er talað um staðinn sem fyrsta þekkta tilraunareitinn til matjurtaræktunar á Íslandi en fyrsta kartaflan á Íslandi var annaðhvort ræktuð í Akurgerði árið 1758 eða á Bessastöðum sama ár. Eggert Ólafsson náttúrufræðingur ásamt Birni Halldórssyni reistu lysthús og áveitur fyrir ræktunartilraunir en Eggert þessi skrifaði ferðabók Eggerts og Bjarna eftir könnunarleiðangra sína um landkosti og búhætti á Íslandi sem þykir eitt merkasta heimildarrit og landshætti þess tíma. Lysthúskvæði (Undir bláum sólar sali) er samið um Akurgerði í Sauðlauksdal (1. 2).,N2U7JY3EAZ
63.823078,-20.379017,Aldamótaskógur á Gaddstöðum,skógar,„Aldamótaskógurinn á Gaddstöðum er 130 ha að stærð. Sjá má leifar af gömlu Rangárvöllum á nokkrum valllendiseyjum í hallinu vestan við Gaddstaðasíki. nálægt suðurmörkum Aldamótaskóga. Landgræðsla ríkisins hóf uppgræðslu á um 300 ha svæði á Gaddstaðasandi árið 1985. í samstarfi við Rangárvallarhrepp og Landsmótshaldara á Gaddsstaðaflötum. Þegar Aldamótaskógaverkefnið hófst var gróðurþekja svæðisins lítil nema þar sem lúpína og melgresi hafði náð fótfestu. Vel hefur tekist til við skógræktina. við frekar erfið skilyrði.“,6R2T9DLNYX
64.829308,-14.162954,Aldamótaskógur í Norðurdal,berjaland. skógar,„Sumarið 2000 var gróðursettur í landi Eydala við Landnyrðingsskjólbakka hlutur Austurfirðinga-fjórðungs í skógræktarverkefninu Aldamótaskógur.  Á sjötta áratug 20. aldar var gróðursett talsvert í reitnum upp við Tinnu og er því þar skemmtilegt útivistarsvæði. um 1. km frá þjóðvegi 1 inn í Norðurdal. Falleg merkt gönguleið liggur  í gegnum skóginn meðfram Tinnudalsá  út á þjóðveg 1. Við Staðarborg hefur Skógræktarfélag Breiðdæla einnig gróðursett mikið síðustu ár og er þar einnig nú að verða til útivistarsvæði.“,EB3FRMSK7J
65.366425,-17.336521,Aldeyjarfoss,fossar. stuðlar,„Aldeyjarfoss er einn af áhugaverðari fossum landsins. staðsettur við norðurenda Sprengisandsvegar.“ Skjálfandafljót steypist fram klettana eftir þröngri rennu. 20 metra niður í breiðan heil. „Fossinn er sérstaklega myndrænn vegna samspils svarts basalts og hvíts vatns í fossinum.“,NF3JZCBEP9
66.556305,-18.003904,Almannagjá,fjörur. gil og gljúfur. fuglar,Almannagjá er ein þeirra gjáa sem liggja niður um Grímseyjarbjarg. Bjargið markar allan austurkant eyjarinnar og þar verpir óhemja af fugli. einkum lunda. álku. langvíu. stuttnefju. skeglu og fýl. Fuglinn og eggin hafa verið gríðarleg búbót fyrir íbúa eyjunnar. Almannagjá er í þeim hluta bjargsins er nefnist Sjálandsbjarg og þar er fært niður í fjöru án bands. þó að leiðin sé brött.,KT87BFHYJE
64.262314,-21.12142,Almannagjá,sögur og sagnir. gil og gljúfur,„Almannagjá er náttúruperla og sögustaður. hluti af Þingvallaþjóðgarði“ (1). Gjáin er hraun­sprunga staðsett vest­an við Þing­vallabæinn. Vestari barmur hennar stend­ur óhagg­að­ur en eystri barm­ur­inn er mun lægri. „enda öll land­spild­an milli Al­manna­gjár og Hrafna­gjár sig­dæld“ (2). Talið er að nafn gjárinnar hafi upphaflega verið Álfmannagjá. vegna þeirrar trúar manna að hún hafi verið bústaður álfa og vætta (3).,LCE9M3S4Y5
64.2854,-15.058128,Almannaskarð - gönguleið,þekktar gönguleiðir. útsýni,„Eftir að bílaumferð lagðist að mestu niður um veginn í Almannaskarði hefur þessi leið verið vinsæl gönguleið sem reynir vel á þol og þrek. Þegar kemur upp á brún skarðsins er tilvalið að halda áfram niður Skarðsdalinn að Almannaskarðsgöngunum að norðan og ganga svo sömu leið til baka því umferð gangandi fólks um göngin er bönnuð. Algengt er að gangan upp á brún Almannaskarðs. sem er í 170m. hæð. taki frá ca. 12-20 mínútur“,CA6UTYX8K2
64.005074,-22.034081,Almenningur,jarðminjar,„Hraunspilda milli Kapelluhrauns og Afstapahrauns sem runnið hefur úr Hrútagjárdyngju fyrir um 7.000 árum. Síðan um aldamót 19. og 20 . aldar hefur hraunið lítið verið breitt enda hefur það gróið nokkuð á ný. Á Almenningi er einn hinna mörgu Gvendarbrunna. við gamla veginn.  Almenningsnafnið mun dregið af því að þar var sameiginlegt beitiland Hraunbæjanna. Mjög nálægt Reykjanesbrautinni sunnan megin eru hinir sérkennilegu Hvassahraunskatlar. Þeir eru nokkurs konar strompar sem gas og gufur komu upp um þegar hraunið rann“ (1). Markmið hverfisverndunar sem gildir fyrir Almenning er að „halda í ásýnd lands og sérstöðu svæðisins hvað varðar náttúru- og mannvistarminjar“ (2).,EYRPMK3L65
64.000435,-20.983597,Alviðra,þekktar gönguleiðir,Alviðra stendur undir Ingólfsfjalli við Sog. gengt Þrastarlundi í Grímsnesi. Alviðra og Öndverðarnes II eru á náttúruminjaskrá. Náttúrufar er auðugt. gróðurfar og fuglalíf fjölbreytt. Þar má njóta útivistar í friðsælu og fögru umhverfi. Gott berjaland er rétt við túnfótinn í Alviðru og er fólki velkomið að tína ber þar. Merktar gönguleiðir eru um land Alviðru. t.d. liggur merkt gönguleið þaðan á Ingólfsfell sem tekur um 2 klst. Af Inghól. sem er hæsti tindur Ingólfsfjalls. er mikið útsýni. Þrastaskógur er einnig í göngufæri. Við upphaf göngu í Alviðru er upplýsingaskilti um leiðina á fjallið.,8C6Y23F7TV
63.434692,-18.426111,Alviðruhamrar,jarðminjar,„Alviðruhamrar eru klettahamrar á söndunum fram af Álftaveri. Alviðruhamrar hafa líklega myndast eftir að hraun hefur runnið ofan af hálendinu á forsögulegum tíma. allt í sjó fram. en þar hefur sjórinn svo brotið framan af hrauninu.  Norðvestur af Álftaveri var Dynskógahverfið til forna. en byggðin þar er talin hafa farið í eyði í Kötluhlaupinu um 900. Þar eru nafngreindir nokkrir bæir og einn af þeim hét Alviðra sem hamrarnir eru víst nefndir eftir. Talið er að Þorkell Alviðrukappi sem barðist við Hróar Tungugoða á Orrustuhól hafi kennt sig við þann bæ.“,RZBJGDSMFU
63.455242,-18.308683,Alviðruhamraviti,fuglar. fjörur. vitar,Alviðruhamraviti er 20.5 metra hár steinsteypuviti sem stendur á svörtum söndum í mikilli auðn syðst í Álftarveri á Mýrdalssandi. Vitinn er hannaður af Benedikt Jónassyni verkfræðing árið 1929. Ljóshæð vitans er 33 metrar yfir sjávarmáli og er hann bæði starfræktur sem ljósviti og radarsvari (1. 2).,SGXVUKB5C9
64.146729,-21.940216,Alþingishúsið,sögur og sagnir.  fornminjar.  byggingalist,Alþingishúsið við Austurvöll var hannað af danska húsameistaranum Ferdinard Meldahl 1879 og kom Alþingi þar fyrst saman í júlí 1881. Húsið er í endurreisnarstíl með bogadregnum gluggum og valmaþaki. en veggirnir eru tvöfaldir og hlaðnir úr tilhöggnu grágrýti. Fyrir ofan glugga á annarri hæð eru landvættirnar fjórar en annars er byggingin lítið skreytt. Allt efni í húsið fyrir utan steininn var innflutt frá Evrópu og iðnaðarmennirnir voru danskir. Íslenskir steinsmiðir lærðu svo vinnubrögðin af Dönunum og í kjölfarið fjölgaði steinhúsum í borginni. Í húsinu voru ýmsar nýjungar m.a. ein fyrstu salerni landsins.,RC8BYE69NF
64.151405,-21.997458,Amlóði,útilist,Amlóði eftir Magnús Tómasson. vígt 1992. stendur á opnu svæði nálægt Valhúsahæð. „Verkið er gert úr basaltbjargi sem er borið uppi af fjórum stálfótum þeir eru bognir efst. eins og til að undirstrika þunga steinsins. Nafn verksins er skírskotun til hinnar gömlu hefðar að nota björg til að reyna afl manna. en er um leið mótsagnarkennt og jafnvel skoplegt því minnsti steinninn í hinni fornu þrekraun er hér stærðarinnar bjarg. Í verki sínu teflir Magnús saman andstæðum eins og hefð og nútíma. þyngd og léttleika. efni og lofti sem vekja fólk til umhugsunar um afstæði viðtekinna gilda.“,TUHJB4P3C8
64.538651,-21.694946,Andakílsárvirkjun,virkjanir,Andakílsvirkjun var á sínum tíma reyst af sveitarfélögum á Vesturlandi árið 1947 og tilheyrir í dag Orkuveitu Reykjavíkur. Virkjunin var hönnuð af íslenskum ráðgjöfum og var á sínum tíma þriðja stærsta vatnsaflsvirkjun landsins. Virkjunin virkjar fall Andarkílsár úr Skorradalsvatni um 500 metrum fyrir ofan stöðvarhúsið sem tekur ekki á móti gestum.,ZFEAGXDM82
63.984959,-22.384762,Aragerði (skrúðgarður),sögur og sagnir.  gróður.  skógar,„Aragerði er skjólsæll hvammur í hjarta Voga. fallegt útivistarsvæði frá náttúrunnar hendi. Hann nýtur skjóls af skeifulaga. grónum klettahrygg og er opinn mót suðri. Suðvesturendi hryggjarins rís hæst og heitir Arahóll. Á hólnum er rúmlega mannhæðar há varða. vandlega hlaðin úr steinlímdu grjóti árið 1890. Þar er góður útsýnisstaður og sleðabrekkur krakkanna á veturna. Á 6. áratug 20. aldar voru gróðursett tré með jöðrum klettahryggjarins sem hafa vaxið vel. aukið verulega skjólið og mynda hlýlega umgjörð um grasflötina í botni hvammsins. Innst í hvamminum er útigrill og hlaðið útisvið. Þarna eru haldin mannamót. m.a. árlegir Fjölskyldudagar. bæjarhátíð Sveitarfélagsins Voga.“,5DNLFU49ZC
65.743408,-21.930761,Aratunga,sögur og sagnir. gil og gljúfur. byggingalist,Eyðibýlið Aratunga er við Aratunguá þar sem hún fellur í Staðará í Staðardal. Miklar tóftir eru á staðnum sem lítið sem ekkert hefur verið hróflað við. Djúpt árgljúfur. Aratungugil. liggur meðfram túninu og ber að gæta varúðar þegar gengið er meðfram því (1.2).,4AJG9YHLZU
63.941639,-21.191603,Arnarbæli,sögur og sagnir,„Bæjahverfið. sem Arnarbæli er hluti af. fékk nafnið Arnarbælishverfi.  Arnarbælisforir eru mýrlendi á þessu frjósama landsvæði. Mikill vatnsagi gerði bændum erfitt fyrir og tilraunir voru gerðar til að ræsa vatnið fram. Geldneyti frá Arnarbæli voru gjarnan látin ganga á Hellisheiði á sumrin áður en afurðirnar voru seldar til Reykjavíkur. (...) Forn og stór rúst á Þingholti í Arnarbælislandi er friðuð. Einn mesti höfðingi Sturlungaaldar. Þorvarður Þórarinsson af Svínfellingaætt. fluttist austan af landi að Arnarbæli 1289.  Hann bjó þar til dauðadags í 7 ár. Margir álíta. að hann hafi notað þennan tíma til að rita Njálssögu“ (1). Enn markar fyrir grunni kirkju sem aflögð var árið 1909 þegar ný kirkja var byggð að Kotströnd (1.2). Arnarbælisbærinn hrundi til grunna í jarðskjálfta árið 1706 og aftur árið 1896 (1).,J1HRLVEY8P
63.40467294,-19.09979938,Arnardrangur,drangar. fjörur,"Dyrhóley var friðlýst árið 1978 (1) en hún er „120 m hár móbergsstapi sem rís þverhníptur úr hafi. Mjór bergrani tengir eyjuna við land og í honum er gatið eða dyrnar sem stapinn ber nafn sitt af.“ Þar er að finna mikla náttúrufegurð og fuglalíf og eyjan því vinsæll viðkomustaður ferðamanna (2). Friðlýsingarákvæði frá árinu 1978 „gilda einnig um Arnardrang við Útfallið. 
svo og alla dranga og sker út af Dyrhólaey“ (1).",NA1M4C9BV3
63.863617,-22.051695,Arnarfell,útsýni,„Arnarfell í Krýsuvík er 198 m yfir sjó (um 100 metra hátt). (...) Arnarfell er með lögulegri fjöllum eða fellum á skaganum. Eystri nýpan á fellinu. grasi gróin. er fornt arnarhreiður. Vestari nýpan hýsir Eiríksvörðu. Sunnan undir fellinu eru tóftir gamla Arnarfellsbæjarins.“ Auk þeirra „má sjá móta fyrir vörslugarði Krýsuvíkurlandsins austan og sunnan við túngarðinn“ (1). Flott útsýni er af Arnarfelli yfir nærliggjandi umhverfi og út á haf (2).,D9TBSXZ3VL
64.706032,-18.751328,Arnarfellsjökull,jöklar,Arnarfellsjökull er jökulsporður sem gengur út úr Hofsjökli til suðausturs. Hann kvíslast síðan í þrjá skriðjökla Rótarjökul nyrst. Múlajökul til suðausturs sem er jafnfram þeirra stærstur og svo Nauthagajökul í suðvestur. Eitt sinn gekk Hofsjökull sjálfur undir nafninu Arnarfellsjökul. þá kenndur við Arnarfell hið mikla en því var breytt og nú er hann kenndur við Hof í Vesturdal (1). Arnarfellsjökull er sérlega áhugaverður staður. en þangað er nánast ekkert aðgengi (2).,TR61XL7EMC
64.006851,-20.828833,Arnarholt,gróður,Arnarholt og Arnarbæli í Árnessýslu eru svæði á Náttúruminjaskrá. Þar er fagurt landslag við Hvítá undan Arnarholti. „Áin þrengir sér þar í hvítfyssandi flúðum milli þriggja gróskumikilla hólma.“ Einnig er fallegt votlendi milli Arnarholts og klettaborga við Arnarbæli. þar sem áður voru áveitur.,V6H3DAPNEM
63.892849,-21.495384,Arnarker. Leitahraun,hraun.  hellar,Arnarker. eða Kerið er við vesturenda Hlíðarendafjalls í Ölfusi þar sem hraunþekja hefur fallið niður í helli. Opið í hellinum er niðurfall en í heild er hann 516 metra langur. Þar er víðast vítt til veggja og hátt til lofts en hellirinn er þó mikið hruninn. Innarlega í suðvesturgöngunum eru sérkennilegir spenar og oft eru skemmtilegar ísmyndanir í hellinum (1). „Hellirinn er mjög fallegur. sérstaklega að vetri til og á vorin. þar sem grýlukerti í honum mynda ævintýralegt umhverfi.“ Fara þarf um veg sem er ekki inn á vegaáætlun og því merktur lokaður. Lítið skilti vísar á gönguleið að hellinum en mikilvægt er að fara með gát um hellinn (2). Skráðar athugasemdir: Hellar á íslandi teljast vera viðkvæmir fyrir ágangi og þarf að umgangast þá af varúð. Dropasteinar og aðrar viðkvæmar myndanir er að finna í mörgum hraunhellum og þeim hættara við skemmdum eftir því sem ásókn í hellana eykst. Dropasteinar eru friðlýst náttúruvætti sbr. auglýsing nr 120/1974 í stjórnartíðindum B og þá ber að vernda. Skipuð hefur verið ráðgjafanefnd um vernd hella á Íslandi og hefur hún ekki en lokið störfum. Meðal þess sem nefndin fjallar um er hvaða hella væri hægt að hafa opna fyrir ferðamenn og hvaða hella beri að vernda. Umhverfisstofnun mælist því til þess að viðkomandi hellir sem hér um ræðir verði ekki markaðssettur sem áhugaverður ferðamannastaður fyrr en vinnu ráðgjafanefndar er lokið og mótuð hefur verið stefna um verndun hella á íslandi og búið að meta hvort vernda beri viðkomandi helli. (3),8AM7BTZX43
66.09903,-23.03945,Arnarnes,dýralíf. fjörur. þekktar gönguleiðir. jarðminjar. fuglar. útsýni,„Táin yst við Skutulsfjörð að austan. Á Arnarnesi er viti. fyrst reistur 1902 en endurbyggður 1921. Þar er endurvarpsstöð fyrir sjónvarp og hringsjá. Austan á nesinu er Arnarneshamar. mikill blágrýtisgangur er nær í sjó fram. Um Arnarnes liggur vegurinn milli Ísafjarðar og Súðavíkur. Liggur hann í gegnum Arnarneshamar. um fyrstu veggöng er gerð voru á Íslandi“ (1). Um 400 metra  löng ganga er frá vegi upp að vitanum og tekur hún um 10 mínútur (2). Við Arnarnesið er ein helsta kræklingafjara Ísfirðinga (3).,8BFA6YDX42
64.103058,-21.930412,Arnarnes,fjörur.  dýralíf.  fuglar.  útsýni,Fjörur Arnarness eru áhugaverðar til fuglaskoðunar. en þær voru friðlýstar árið 2009. Þó er ekki hægt að ganga meðfram fjörunni á göngustíg. en göngustígar liggja þó niður að henni (1. 2). „Frá norðanverðu Arnarnesi má sjá ýmsa vaðfugla á Kópavogi svo og umferðarfugla þegar þeir eiga leið um landið. Í tjörnum við Arnarneslæk. þar sem hann rennur til sjávar. sjást endur. mófuglar og margæsir“ (3).,9GBAL352R8
63.902969,-22.413589,Arnarsetur,jarðminjar. útsýni,"Arnarsetur er „gígaþyrping rétt austan vegarins til Grindavíkur. suður af Vogastapa. Er yngsta hraunið á því svæði runnið þaðan en eldvarpið sjálft er dyngja. Í Arnarsetri urpu fyrrum ernir að sögn Bjarna Sæmundssonar“ (1).
Áningastaður er við Arnarseturshæð þaðan sem er gott útsýni yfir jarðminjar í nágrenninu. Þar er einnig aðgengi að hraunhelli er nefnist Dollan (2).",F81T4K9YLG
64.768684,-23.616159,Arnarstapaviti,vitar.  útsýni,Vitinn er 3m hátt steinsteypt hús með innbyggðu ljóshúsi. „Vitinn var byggður árið 1941 eftir teikningum Axels Sveinssonar verkfræðings og var upphaflega með svörtum og gráum láréttum böndum. Tvö þeirra eru innfelld og voru þau húðuð með hrafntinnu en ljósir fletir vitans með ljósu kvarsi. Nú hefur vitinn verið kústaður með hvítri sementsblöndu. Gasljós var í vitanum í upphafi en hann var rafvæddur árið 1972“ (1). Vitinn stendur á klettaströnd rétt við aðal gönguleiðina um friðlandið milli Arnarstapa og Hellna. Mikið fuglalíf er á svæðinu (2). Skráðar athugasemdir: Ágangur ferðamanna er þegar orðinn það mikill að brýn þörf er á lagningu varanlegra göngustíga eins og þá sem eru við styttuna af Bárði Snæfellsási. (3),HYBS3RM8PC
64.769958,-23.620546,Arnarstapi,sögur og sagnir.  stuðlar.  jarðminjar.  þekktar gönguleiðir.  drangar.  fjörur.  selir.  fuglar.  dýralíf.  gil og gljúfur.  útsýni,Á Arnarstapa eru fallegir klettar og fjölbreytt fugla- og dýralíf (1). Ströndin milli Arnarstapa og Hellna er friðland og þar á milli liggur gönguleið sem er að hluta gömul reiðgata (2). Lengd göngunnar er um 4 km og tekur um 1.5 - 2 klst að ganga hana (3). Arnarstapi geymir mikla sögu. þar var áður fyrr kaupstaður og mikið útræði og lendingin var talin ein sú besta undir Jökli. Smábátahöfnin hefur verið endurbætt og er í dag eina höfnin á sunnanverðu Snæfellsnesi og þar gera dagráðra bátar út yfir sumartímann. Steinlistaverkið Bárður Snæfellsás eftir Ragnar Kjartansson myndhöggvara setur svip á svæðið (2). Skráðar athugasemdir: Staðurinn er viðkvæmur. Sér töluvert á gróðri vegna fjölda ferðamanna (3),P4CHTJBR7L
65.68866,-24.036469,Arnarstapi,fossar. sögur og sagnir. fjörur. drangar. þekktar gönguleiðir. jarðminjar. skógar,„Á Arnarstapa er að öllum líkindum vestasti trjálundur í Evrópu og hafa skógfræðingar látið svo um mælt að tré eigi ekki að geta vaxið þarna en það vita blessaðar plönturnar ekki og því standa þarna nokkurra metra há tré og bjóða vestanáttinni byrginn. okkur gestum þeirra til skjóls og yndisauka. Í fjörunni fyrir neðan Stapa eins og jörðin er nefnd í daglegu tali eru leifar af verbúðum sem notaðar voru við útróðra úr Stapavíkum fram undir 1930 af bændum úr Tálknafirði sem áttu þarna útræði“ (1). Staðurinn býr yfir mikilli sögu. náttúrufegurð og kyrrð (2). Þar er einnig falleg gönguleið meðfram sléttum sjávarbökkunum framhjá menningarminjum (3).,L7P5ZUK3NS
65.530319,-19.515083,Arnarstapi - hringsjá,minnismerki. útsýni,Áberandi staður við þjóveginn. austast í Vatnsskarði. rétt áður en komið er niður að Varmahlíð í Skagafirði. Frá hringsjánni er einstakt útsýni yfir fjörðinn (1). „Þar var Stephani G. Steph­ans­syni skáldi (1853–1927) reistur minn­is­varði er Ríkarður Jóns­son gerði. Stephan fæddist að Kirkjubóli en dvaldist um hríð í Víði­mýrarseli“ (2).,R3D6M2HU17
65.59153,-15.401989,Arnarvatn/Skálamór - Heiðarbýlin í göngufæri,sögur og sagnir. þekktar gönguleiðir,„Arnarvatn (420 m) stendur í stórri kvos sem nefnist Brunahvammskvos. Yst í kvosinni er samnefnt vatn.“ Arnarvatn byggðist 1867. „Fyrrum var Arnarvatn í alfararleið frá Möðrudal og norðanverðri Jökuldalsheiði til Vopnafjarðar.“ Hægt er að ganga að Arnarvatni frá þjóðvegi 85 annað hvort frá Kálffelli og þá þarf að vaða. eða frá stíflu sem er við útfall vatnsins. Hægt er að aka að stíflunni og alveg heim að bæ. „Á Arnarvatni stendur gangamannakofi sem smalar í Haukastaðaheiði nýta. Arnarvatn fór í eyði 1935.“ Arnarvatn er eitt af 22 heiðarbýlum á Jökuldalsheiðinni og heiðunum þar í kring. Uppi eru áform um að byggja upp menningartengda ferðaþjónustu með því að tengja saman heiðarbýlin með gönguleiðum. Hjá hverju býli verða upplýsingar um býlið. ábúendur og sögur.,NE9PBTA8JZ
64.961227,-20.364435,Arnarvatnsskáli,sögur og sagnir.  vörður.  gróður.  fuglar,Skálabyggð við Arnarvatn á Tvídægru. „Arnarvatnsheiði og Tvídægra eru heiðarflákar upp af Miðfirði og Hrútafirði. Heiðarnar eru mjög grösugar og góð beitilönd og á þeim eru fjölmörg vötn. ár og lækjarsprænur og góð fiskigegnd í mörgum þeirra.“ Fuglalífið er einnig mikið (1). Hér er sögustaður Grettissögu. minjar og mikil náttúrufegurð (2). Á þessu svæði er ólýsanleg kyrrð og útsýni yfir Eiríksjökul og Langjökull blasir þar við. Gróður er viðkvæmur vegna mýrlendis og þolir illa traðk. Arnarvatn litla og stóra hafa mikið aðdráttarafl fyrir veiðimenn (3). Skráðar athugasemdir. Staðurinn er viðkvæmur. Mjög vaxandi umferð milli Miðfjarðar og Borgarfjarðadala mæð bættum vegi.Gisting er í skálum og veiðivörður að sumri. (4),L6195DTJGN
